food_id,name,query,selected_fdc_id,selected_dataset,selected_description,selected_score,selection,review_note,top_candidates,imputed_fields
U011,Salmon,salmon cooked,172000,sr_legacy,"Fish, salmon, chum, cooked, dry heat",2.25,automatic_ranked_candidate,,"172000 [sr_legacy] Fish, salmon, chum, cooked, dry heat || 172001 [sr_legacy] Fish, salmon, pink, cooked, dry heat || 171999 [sr_legacy] Fish, salmon, chinook, cooked, dry heat || 173692 [sr_legacy] Fish, salmon, sockeye, cooked, dry heat || 173719 [sr_legacy] Fish, salmon, coho, wild, cooked, dry heat || 173716 [sr_legacy] Fish, salmon, coho, farmed, cooked, dry heat || 175137 [sr_legacy] Fish, salmon, coho, wild, cooked, moist heat || 173722 [sr_legacy] Salmon nuggets, cooked as purchased, unheated",added_sugar_g
U012,Tofu,tofu firm,172461,sr_legacy,"MORI-NU, Tofu, silken, firm",2.1,automatic_ranked_candidate,,"172461 [sr_legacy] MORI-NU, Tofu, silken, firm || 173788 [sr_legacy] HOUSE FOODS Premium Firm Tofu || 175236 [sr_legacy] Vitasoy USA Azumaya, Firm Tofu || 172463 [sr_legacy] MORI-NU, Tofu, silken, lite firm || 172462 [sr_legacy] MORI-NU, Tofu, silken, extra firm || 172468 [sr_legacy] Vitasoy USA, Nasoya Lite Firm Tofu || 175235 [sr_legacy] Vitasoy USA Azumaya, Extra Firm Tofu || 173763 [sr_legacy] Vitasoy USA, Organic Nasoya Firm Tofu",added_sugar_g
U013,Lentils cooked,lentils cooked,175254,sr_legacy,"Lentils, mature seeds, cooked, boiled, with salt",2.25,automatic_ranked_candidate,,"175254 [sr_legacy] Lentils, mature seeds, cooked, boiled, with salt || 172421 [sr_legacy] Lentils, mature seeds, cooked, boiled, without salt || 172420 [sr_legacy] Lentils, raw || 171577 [sr_legacy] SMART SOUP, French Lentil || 174284 [sr_legacy] Lentils, pink or red, raw || 171549 [sr_legacy] Soup, lentil with ham, canned, ready-to-serve || 2644283 [foundation] Lentils, dry || 2644328 [foundation] lentils, dry",added_sugar_g
U014,Canned soup,soup canned,2707127,survey,"Soup, beef, canned",2.35,automatic_ranked_candidate,,"2707127 [survey] Soup, beef, canned || 2707454 [survey] Soup, bean, canned || 2707460 [survey] Soup, lentil, canned || 2709759 [survey] Soup, tomato, canned || 2707133 [survey] Soup, chicken, canned || 2710111 [survey] Soup, vegetable, canned || 2709148 [survey] Soup, chicken noodle, canned || 2707456 [survey] Soup, bean, canned, reduced sodium",added_sugar_g
U015,Low-fat yogurt,yogurt low fat plain,170886,sr_legacy,"Yogurt, plain, low fat",2.1,automatic_ranked_candidate,,"170886 [sr_legacy] Yogurt, plain, low fat || 2705419 [survey] Yogurt, low fat milk, plain || 2705423 [survey] Yogurt, Greek, low fat milk, plain || 170888 [sr_legacy] Yogurt, vanilla, low fat. || 170889 [sr_legacy] Yogurt, fruit, low fat,9 g protein/8 oz || 171286 [sr_legacy] Yogurt, fruit, low fat, 11g protein/8 oz || 172219 [sr_legacy] Yogurt, vanilla, low fat, fortified with vitamin D || 171285 [sr_legacy] Yogurt, fruit, low fat, 10 grams protein per 8 ounce",added_sugar_g
U016,Quinoa cooked,quinoa cooked,168917,sr_legacy,"Quinoa, cooked",2.25,automatic_ranked_candidate,,"168917 [sr_legacy] Quinoa, cooked || 172027 [sr_legacy] Pasta, gluten-free, corn flour and quinoa flour, cooked, ANCIENT HARVEST || 168874 [sr_legacy] Quinoa, uncooked || 2512372 [foundation] Flour, quinoa || 2512431 [foundation] quinoa, flour || 2512433 [foundation] quinoa, flour || 2512435 [foundation] quinoa, flour || 2512437 [foundation] quinoa, flour",added_sugar_g
U017,Whole wheat pasta,pasta whole wheat cooked,168916,sr_legacy,"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked",2.25,automatic_ranked_candidate,,"168916 [sr_legacy] Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked || 168910 [sr_legacy] Pasta, whole-wheat, cooked (Includes foods for USDA's Food Distribution Program) || 172024 [sr_legacy] Pasta, whole grain, 51% whole wheat, remaining enriched semolina, cooked (Includes foods for USDA's Food Distribution Program) || 168915 [sr_legacy] Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dry || 169738 [sr_legacy] Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program) || 172025 [sr_legacy] Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program)",added_sugar_g
U018,Corn,corn sweet cooked,168540,sr_legacy,"Corn, sweet, white, cooked, boiled, drained, with salt",2.25,automatic_ranked_candidate,,"168540 [sr_legacy] Corn, sweet, white, cooked, boiled, drained, with salt || 168525 [sr_legacy] Corn, sweet, yellow, cooked, boiled, drained, with salt || 168539 [sr_legacy] Corn, sweet, white, cooked, boiled, drained, without salt || 169999 [sr_legacy] Corn, sweet, yellow, cooked, boiled, drained, without salt || 169367 [sr_legacy] Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, with salt || 169349 [sr_legacy] Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, with salt || 169366 [sr_legacy] Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, without salt || 168401 [sr_legacy] Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, without salt",added_sugar_g
U019,Potato baked,potato baked,170112,sr_legacy,"Potatoes, baked, flesh, with salt",2.25,automatic_ranked_candidate,,"170112 [sr_legacy] Potatoes, baked, flesh, with salt || 170034 [sr_legacy] Potatoes, baked, skin, without salt || 170033 [sr_legacy] Potatoes, baked, flesh, without salt || 170435 [sr_legacy] Potatoes, red, flesh and skin, baked || 170113 [sr_legacy] Potatoes, baked, skin only, with salt || 170434 [sr_legacy] Potatoes, white, flesh and skin, baked || 170030 [sr_legacy] Potatoes, Russet, flesh and skin, baked || 170111 [sr_legacy] Potatoes, baked, flesh and skin, with salt",added_sugar_g
U020,Sweet potato baked,sweet potato baked,168483,sr_legacy,"Sweet potato, cooked, baked in skin, flesh, without salt",999.0,manual_override,,"168483 [sr_legacy] Sweet potato, cooked, baked in skin, flesh, without salt || 170542 [sr_legacy] Sweet potato, frozen, cooked, baked, with salt || 169307 [sr_legacy] Sweet potato, frozen, cooked, baked, without salt || 170134 [sr_legacy] Sweet potato, cooked, baked in skin, flesh, with salt || 2709700 [survey] Sweet potato, baked, fat added || 2709698 [survey] Sweet potato, baked, NS as to fat || 2709699 [survey] Sweet potato, baked, no added fat || 169303 [sr_legacy] Sweet potato leaves, raw",added_sugar_g
U021,Kale,kale cooked,169355,sr_legacy,"Kale, cooked, boiled, drained, with salt",2.25,automatic_ranked_candidate,,"169355 [sr_legacy] Kale, cooked, boiled, drained, with salt || 169238 [sr_legacy] Kale, cooked, boiled, drained, without salt || 169356 [sr_legacy] Kale, frozen, cooked, boiled, drained, with salt || 169240 [sr_legacy] Kale, frozen, cooked, boiled, drained, without salt || 326136 [foundation] KALE, FROZEN, COOKED || 326141 [foundation] KALE, FROZEN, COOKED || 326146 [foundation] KALE, FROZEN, COOKED || 326151 [foundation] KALE, FROZEN, COOKED",added_sugar_g
U022,Carrot,carrot raw,170393,sr_legacy,"Carrots, raw",2.25,automatic_ranked_candidate,,"170393 [sr_legacy] Carrots, raw || 2258586 [foundation] Carrots, mature, raw || 2258609 [foundation] carrots, mature, raw || 2258611 [foundation] carrots, mature, raw || 2258613 [foundation] carrots, mature, raw || 2258615 [foundation] carrots, mature, raw || 2258617 [foundation] carrots, mature, raw || 2258619 [foundation] carrots, mature, raw",added_sugar_g
U023,Cucumber,cucumber raw,169225,sr_legacy,"Cucumber, peeled, raw",2.25,automatic_ranked_candidate,,"169225 [sr_legacy] Cucumber, peeled, raw || 168409 [sr_legacy] Cucumber, with peel, raw || 2346406 [foundation] Cucumber, with peel, raw || 2346772 [foundation] cucumber, with skin, raw || 2346774 [foundation] cucumber, with skin, raw || 2346776 [foundation] cucumber, with skin, raw || 2346778 [foundation] cucumber, with skin, raw || 2346780 [foundation] cucumber, with skin, raw",added_sugar_g
U024,Mushroom,mushrooms raw,169251,sr_legacy,"Mushrooms, white, raw",999.0,manual_override,,"169251 [sr_legacy] Mushrooms, white, raw || 168423 [sr_legacy] Mushrooms, morel, raw || 169382 [sr_legacy] Mushrooms, enoki, raw || 168580 [sr_legacy] Mushrooms, oyster, raw || 169403 [sr_legacy] Mushrooms, maitake, raw || 169242 [sr_legacy] Mushrooms, shiitake, raw || 169255 [sr_legacy] Mushrooms, portabella, raw || 168422 [sr_legacy] Mushrooms, Chanterelle, raw",added_sugar_g
U025,Romaine lettuce,lettuce romaine raw,169247,sr_legacy,"Lettuce, cos or romaine, raw",2.25,automatic_ranked_candidate,,"169247 [sr_legacy] Lettuce, cos or romaine, raw || 327923 [foundation] Lettuce, cos or romaine, raw || 746769 [foundation] Lettuce, cos or romaine, raw || 2346389 [foundation] Lettuce, romaine, green, raw || 2346500 [foundation] Lettuce, romaine, green, raw || 2346502 [foundation] Lettuce, romaine, green, raw || 2346504 [foundation] Lettuce, romaine, green, raw || 2346506 [foundation] Lettuce, romaine, green, raw",added_sugar_g
U026,Orange,orange raw,169918,sr_legacy,"Oranges, raw, Florida",2.25,automatic_ranked_candidate,,"169918 [sr_legacy] Oranges, raw, Florida || 170502 [sr_legacy] Tomatoes, orange, raw || 175133 [sr_legacy] Fish, roughy, orange, raw || 169105 [sr_legacy] Tangerines, (mandarin oranges), raw || 169916 [sr_legacy] Oranges, raw, California, valencias || 169097 [sr_legacy] Oranges, raw, all commercial varieties || 169917 [sr_legacy] Oranges, raw, navels (Includes foods for USDA's Food Distribution Program) || 746771 [foundation] Oranges, raw, navels",added_sugar_g
U027,Grapes,grapes raw,2709237,survey,"Grapes, raw",999.0,manual_override,,"2709237 [survey] Grapes, raw || 168575 [sr_legacy] Grape leaves, raw || 173040 [sr_legacy] Grapes, muscadine, raw || 174682 [sr_legacy] Grapes, american type (slip skin), raw || 174683 [sr_legacy] Grapes, red or green (European type, such as Thompson seedless), raw || 321360 [foundation] Tomatoes, grape, raw || 2263890 [foundation] Grapes, red, seedless, raw || 2346412 [foundation] Grapes, red, seedless, raw || 2263891 [foundation] Grapes, green, seedless, raw",added_sugar_g
U028,Strawberries,strawberries raw,167762,sr_legacy,"Strawberries, raw",2.25,automatic_ranked_candidate,,"167762 [sr_legacy] Strawberries, raw || 173045 [sr_legacy] Guavas, strawberry, raw || 327699 [foundation] Strawberries, raw || 747448 [foundation] Strawberries, raw || 2263887 [foundation] Strawberries, raw || 2346409 [foundation] Strawberries, raw || 2263894 [foundation] strawberries, fresh, raw || 2263896 [foundation] strawberries, fresh, raw",added_sugar_g
U029,Avocado,avocado raw,171707,sr_legacy,"Avocados, raw, Florida",2.25,automatic_ranked_candidate,,"171707 [sr_legacy] Avocados, raw, Florida || 171706 [sr_legacy] Avocados, raw, California || 171705 [sr_legacy] Avocados, raw, all commercial varieties || 2710824 [foundation] Avocado, Hass, peeled, raw || 2711131 [foundation] Avocado, Hass, peeled, pit removed, raw || 2711133 [foundation] Avocado, Hass, peeled, pit removed, raw || 2711135 [foundation] Avocado, Hass, peeled, pit removed, raw || 2711137 [foundation] Avocado, Hass, peeled, pit removed, raw",added_sugar_g
U030,Orange juice,orange juice,169098,sr_legacy,"Orange juice, raw (Includes foods for USDA's Food Distribution Program)",999.0,manual_override,,"169098 [sr_legacy] Orange juice, raw (Includes foods for USDA's Food Distribution Program) || 169044 [sr_legacy] Beverages, Orange juice drink || 169099 [sr_legacy] Orange juice, canned, unsweetened || 168113 [sr_legacy] Frozen novelties, juice type, orange || 173178 [sr_legacy] Beverages, Orange juice, light, No pulp || 169100 [sr_legacy] Orange juice, chilled, includes from concentrate || 173223 [sr_legacy] Beverages, orange and apricot juice drink, canned || 169106 [sr_legacy] Tangerines, (mandarin oranges), canned, juice pack || 169104 [sr_legacy] Orange-grapefruit juice, canned or bottled, unsweetened",added_sugar_g
U031,Egg,egg whole cooked,173423,sr_legacy,"Egg, whole, cooked, fried",2.25,automatic_ranked_candidate,,"173423 [sr_legacy] Egg, whole, cooked, fried || 172185 [sr_legacy] Egg, whole, cooked, omelet || 172186 [sr_legacy] Egg, whole, cooked, poached || 172187 [sr_legacy] Egg, whole, cooked, scrambled || 173424 [sr_legacy] Egg, whole, cooked, hard-boiled || 2707153 [survey] Egg, whole, cooked, NS as to cooking method || 169732 [sr_legacy] Noodles, egg, enriched, cooked || 168901 [sr_legacy] Pasta, homemade, made with egg, cooked",added_sugar_g
U032,Turkey breast,turkey breast cooked,171496,sr_legacy,"Turkey, whole, breast, meat only, cooked, roasted",2.25,automatic_ranked_candidate,,"171496 [sr_legacy] Turkey, whole, breast, meat only, cooked, roasted || 174516 [sr_legacy] Turkey, retail parts, breast, meat only, cooked, roasted || 171501 [sr_legacy] Turkey breast, pre-basted, meat and skin, cooked, roasted || 171492 [sr_legacy] Turkey, all classes, breast, meat and skin, cooked, roasted || 171529 [sr_legacy] Turkey, retail parts, breast, meat and skin, cooked, roasted || 174514 [sr_legacy] Turkey, retail parts, breast, meat only, with added solution, cooked, roasted || 172941 [sr_legacy] Turkey breast, sliced, prepackaged || 171098 [sr_legacy] Turkey, whole, breast, meat only, raw",added_sugar_g
U033,Lean beef,beef lean cooked,173114,sr_legacy,"Beef, ground, 97% lean meat / 3% fat, loaf, cooked, baked",2.25,automatic_ranked_candidate,,"173114 [sr_legacy] Beef, ground, 97% lean meat / 3% fat, loaf, cooked, baked || 174029 [sr_legacy] Beef, ground, 95% lean meat / 5% fat, loaf, cooked, baked || 174754 [sr_legacy] Beef, ground, 93% lean meat / 7% fat, loaf, cooked, baked || 169474 [sr_legacy] Beef, ground, 70% lean meat / 30% fat, loaf, cooked, baked || 171795 [sr_legacy] Beef, ground, 90% lean meat / 10% fat, loaf, cooked, baked || 171800 [sr_legacy] Beef, ground, 80% lean meat / 20% fat, loaf, cooked, baked || 171801 [sr_legacy] Beef, ground, 75% lean meat / 25% fat, loaf, cooked, baked || 174035 [sr_legacy] Beef, ground, 85% lean meat / 15% fat, loaf, cooked, baked",added_sugar_g
U034,Pork tenderloin,pork tenderloin cooked,168250,sr_legacy,"Pork, fresh, loin, tenderloin, separable lean only, cooked, roasted",2.25,automatic_ranked_candidate,,"168250 [sr_legacy] Pork, fresh, loin, tenderloin, separable lean only, cooked, roasted || 168313 [sr_legacy] Pork, fresh, loin, tenderloin, separable lean only, cooked, broiled || 167904 [sr_legacy] Pork, fresh, loin, tenderloin, separable lean and fat, cooked, broiled || 167905 [sr_legacy] Pork, fresh, loin, tenderloin, separable lean and fat, cooked, roasted || 169180 [sr_legacy] Pork, fresh, loin, tenderloin, separable lean only, with added solution, cooked, roasted || 169185 [sr_legacy] Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, cooked, roasted || 168249 [sr_legacy] Pork, fresh, loin, tenderloin, separable lean only, raw || 167910 [sr_legacy] HORMEL ALWAYS TENDER, Pork Tenderloin, Teriyaki-Flavored",added_sugar_g
U035,Shrimp,shrimp cooked,175180,sr_legacy,"Crustaceans, shrimp, cooked",2.25,automatic_ranked_candidate,,"175180 [sr_legacy] Crustaceans, shrimp, cooked || 171971 [sr_legacy] Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture) || 173160 [sr_legacy] Snacks, shrimp cracker || 175179 [sr_legacy] Crustaceans, shrimp, raw || 168077 [sr_legacy] DENNY'S, golden fried shrimp || 169008 [sr_legacy] APPLEBEE'S, Double Crunch Shrimp || 171159 [sr_legacy] Soup, cream of shrimp, canned, condensed || 171972 [sr_legacy] Crustaceans, shrimp, mixed species, canned",fiber_g;added_sugar_g
U036,Sardines canned,sardines canned,175139,sr_legacy,"Fish, sardine, Atlantic, canned in oil, drained solids with bone",1.6,automatic_ranked_candidate,,"175139 [sr_legacy] Fish, sardine, Atlantic, canned in oil, drained solids with bone || 175140 [sr_legacy] Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone || 173578 [sr_legacy] Fish oil, sardine || 2707033 [survey] Sardine sandwich",added_sugar_g
U037,Milk low-fat,milk lowfat,170872,sr_legacy,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",999.0,manual_override,,"170872 [sr_legacy] Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D || 170874 [sr_legacy] Milk, buttermilk, fluid, cultured, lowfat || 170890 [sr_legacy] Milk dessert bar, frozen, made from lowfat milk || 173463 [sr_legacy] Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener || 171268 [sr_legacy] Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D || 170873 [sr_legacy] Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D || 322228 [foundation] Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D || 746772 [foundation] Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",added_sugar_g
U038,Cheddar cheese,cheese cheddar,170899,sr_legacy,"Cheese, cheddar, sharp, sliced",2.1,automatic_ranked_candidate,,"170899 [sr_legacy] Cheese, cheddar, sharp, sliced || 173439 [sr_legacy] Cheese, low fat, cheddar or colby || 169901 [sr_legacy] Cheese, american cheddar, imitation || 171295 [sr_legacy] Cheese, cheddar, nonfat or fat free || 173440 [sr_legacy] Cheese, low-sodium, cheddar or colby || 172955 [sr_legacy] Sausage, pork and beef, with cheddar cheese, smoked || 167964 [sr_legacy] Snacks, M&M MARS, COMBOS Snacks Cheddar Cheese Pretzel || 168089 [sr_legacy] Imitation cheese, american or cheddar, low cholesterol",added_sugar_g
U039,Cottage cheese,cottage cheese,172182,sr_legacy,"Cheese, cottage, lowfat, 2% milkfat",999.0,manual_override,,"172182 [sr_legacy] Cheese, cottage, lowfat, 2% milkfat || 169078 [sr_legacy] Cheese, cottage, with vegetables || 173417 [sr_legacy] Cheese, cottage, lowfat, 1% milkfat || 172180 [sr_legacy] Cheese, cottage, creamed, with fruit || 172179 [sr_legacy] Cheese, cottage, creamed, large or small curd || 167703 [sr_legacy] Cheese, cottage, lowfat, 1% milkfat, lactose reduced || 167716 [sr_legacy] Cheese, cottage, lowfat, 1% milkfat, with vegetables || 168114 [sr_legacy] Cheese, cottage, lowfat, 1% milkfat, no sodium added",added_sugar_g
U040,Chickpeas cooked,chickpeas cooked,173799,sr_legacy,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt",2.25,automatic_ranked_candidate,,"173799 [sr_legacy] Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt || 173757 [sr_legacy] Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt || 174288 [sr_legacy] Chickpea flour (besan) || 173756 [sr_legacy] Chickpeas (garbanzo beans, bengal gram), mature seeds, raw || 173800 [sr_legacy] Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained solids || 175206 [sr_legacy] Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids || 173801 [sr_legacy] Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water || 175250 [sr_legacy] Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium",added_sugar_g
U041,Black beans cooked,black beans cooked,175237,sr_legacy,"Beans, black, mature seeds, cooked, boiled, with salt",2.25,automatic_ranked_candidate,,"175237 [sr_legacy] Beans, black, mature seeds, cooked, boiled, with salt || 173735 [sr_legacy] Beans, black, mature seeds, cooked, boiled, without salt || 175239 [sr_legacy] Beans, black turtle, mature seeds, cooked, boiled, with salt || 175187 [sr_legacy] Beans, black turtle, mature seeds, cooked, boiled, without salt || 173734 [sr_legacy] Beans, black, mature seeds, raw || 175186 [sr_legacy] Beans, black turtle, mature seeds, raw || 175188 [sr_legacy] Beans, black turtle, mature seeds, canned || 175238 [sr_legacy] Beans, black, mature seeds, canned, low sodium",added_sugar_g
U042,Almonds,almonds raw,2346393,foundation,"Nuts, almonds, whole, raw",2.25,automatic_ranked_candidate,,"2346393 [foundation] Nuts, almonds, whole, raw || 2346564 [foundation] Nuts, almonds, raw, whole || 2346566 [foundation] Nuts, almonds, raw, whole || 2346568 [foundation] Nuts, almonds, raw, whole || 2346570 [foundation] Nuts, almonds, raw, whole || 2346572 [foundation] Nuts, almonds, raw, whole || 2346574 [foundation] Nuts, almonds, raw, whole || 2346576 [foundation] Nuts, almonds, raw, whole",energy_kcal;added_sugar_g
